"id","submitdate","lastpage","startlanguage","startdate","datestamp","ipaddr","refurl","t","c","rok","plec","wyksztalcenie","filozofia","filozofia2","interviewtime","groupTime8018","tTime","groupTime8017","cTime","groupTime8019","rokTime","plecTime","wyksztalcenieTime","filozofiaTime","filozofia2Time"
"1","2018-03-06 20:40:29","3","pl","2018-03-06 20:37:01","2018-03-06 20:40:28","178.235.53.213","http://m.facebook.com/","Zgadzam się","Zgadzam się","1965","Kobieta","wyższe (licencjat, inżynier, magister)","Nie","","208.21","107.17","","58.04","","43","","","","",""
"2","","1","pl","2018-03-07 11:14:37","2018-03-07 11:15:11","89.64.9.252","https://l.facebook.com/","Częściowo się zgadzam, częściowo się nie zgadzam","","","N/A","","N/A","","34.37","34.37","","","","","","","","",""
"3","2018-03-07 11:21:53","3","pl","2018-03-07 11:19:49","2018-03-07 11:21:53","37.47.48.66","","Zdecydowanie się nie zgadzam","Zdecydowanie się nie zgadzam","1995","Mężczyzna","średnie","Tak","uczestniczyłem/łam w zajęciach z filozofii","92.66","42.76","","25.28","","24.62","","","","",""
"4","2018-03-07 11:21:56","3","pl","2018-03-07 11:20:21","2018-03-07 11:21:56","87.204.54.150","http://m.facebook.com","Zdecydowanie się nie zgadzam","Zdecydowanie się nie zgadzam","1975","Kobieta","wyższe (licencjat, inżynier, magister)","Nie","","96.42","43.23","","31.39","","21.8","","","","",""
"5","2018-03-07 11:23:46","3","pl","2018-03-07 11:21:25","2018-03-07 11:23:46","37.8.230.51","https://l.facebook.com/","Zgadzam się","Zdecydowanie się nie zgadzam","1987","Mężczyzna","średnie","Nie","","141.47","80.64","","37.77","","23.06","","","","",""
"6","2018-03-07 13:04:14","3","pl","2018-03-07 12:58:42","2018-03-07 13:04:14","80.49.170.51","","Zgadzam się","Częściowo się zgadzam, częściowo się nie zgadzam","1996","Kobieta","wyższe (licencjat, inżynier, magister)","Tak","uczestniczyłem/łam w zajęciach z filozofii","333.21","113.52","","179.67","","40.02","","","","",""
"7","2018-03-07 13:02:11","3","pl","2018-03-07 13:00:55","2018-03-07 13:02:11","89.71.218.178","https://l.facebook.com/","Częściowo się zgadzam, częściowo się nie zgadzam","Zdecydowanie się nie zgadzam","1993","Mężczyzna","wyższe (licencjat, inżynier, magister)","Nie","","76.56","33.49","","19.06","","24.01","","","","",""
"8","2018-03-07 14:08:01","3","pl","2018-03-07 14:05:49","2018-03-07 14:08:01","193.0.108.41","http://www.kognilab.pl/limesurvey/index.php/718115","Zdecydowanie się zgadzam","Zdecydowanie się nie zgadzam","1993","Kobieta","wyższe (licencjat, inżynier, magister)","Tak","uczestniczyłem/łam w zajęciach z filozofii","133.73","59.59","","53.16","","20.98","","","","",""
"9","2018-03-07 17:13:45","3","pl","2018-03-07 17:13:12","2018-03-07 17:13:45","89.73.81.22","https://l.facebook.com/","Zgadzam się","Nie zgadzam się","1996","Mężczyzna","wyższe (licencjat, inżynier, magister)","Nie","","34.33","15.17","","8.4","","10.76","","","","",""
"10","2018-03-07 17:15:06","3","pl","2018-03-07 17:13:33","2018-03-07 17:15:06","188.146.229.44","http://m.facebook.com","Zdecydowanie się zgadzam","Częściowo się zgadzam, częściowo się nie zgadzam","1997","Kobieta","średnie","Nie","","94.54","44.96","","30.78","","18.8","","","","",""
