"id","submitdate","lastpage","startlanguage","startdate","datestamp","ipaddr","refurl","M1","M2","M3","M3[other]","M4","M5","M6","I1","Coinflip","ControlCoinflip","CoinflipKnow","I2","Truetemp","ControlTruetemp","TruetempKnow","interviewtime","groupTime8122","M1Time","M2Time","M3Time","M4Time","M5Time","M6Time","groupTime8125","I1Time","groupTime8123","CoinflipTime","ControlCoinflipTime","CoinflipKnowTime","groupTime8124","I2Time","groupTime8126","TruetempTime","ControlTruetempTime","TruetempKnowTime"
"6","2018-03-20 12:50:05","5","en","2018-03-20 12:46:36","2018-03-20 12:50:05","178.203.52.144","","Female","1991","Bachelor's degree","","No","","Yes","","","True","Disagree","","","True","Agree","209.89","78.14","","","","","","","56.34","","39.06","","","","2.55","","33.8","","",""
"7","2018-03-20 13:01:35","5","en","2018-03-20 12:59:32","2018-03-20 13:01:35","24.61.0.55","","Male","1984","Bachelor's degree","","No","","Yes","","","True","Agree","","","True","Neutral","125.78","24.3","","","","","","","4.81","","45.83","","","","7.22","","43.62","","",""
"8","2018-03-20 13:03:12","5","en","2018-03-20 12:59:59","2018-03-20 13:03:12","96.35.244.165","","Female","1991","Some College","","Yes","I have taken some philosophy classes","Yes","","","True","Disagree","","","True","Agree","194.76","20.84","","","","","","","11.07","","37.96","","","","4.24","","120.65","","",""
"9","2018-03-20 13:01:31","5","en","2018-03-20 13:00:46","2018-03-20 13:01:31","109.176.103.210","","Male","1990","Bachelor's degree","","No","","Yes","","","True","Neutral","","","True","Neutral","47.29","14.57","","","","","","","3.37","","9.33","","","","3.5","","16.52","","",""
"10","2018-03-20 13:17:25","5","en","2018-03-20 13:16:09","2018-03-20 13:17:25","90.255.161.212","","Male","1977","Master's degree","","No","","Yes","","","True","Strongly disagree","","","True","Agree","77.85","21.37","","","","","","","5.44","","22.32","","","","3.71","","25.01","","",""
"11","2018-03-20 13:18:51","5","en","2018-03-20 13:16:38","2018-03-20 13:18:51","77.102.200.37","","Female","1978","Bachelor's degree","","Yes","I have taken some philosophy classes","Yes","","","True","Neutral","","","True","Agree","134.11","27.12","","","","","","","5.56","","50.13","","","","5.06","","46.24","","",""
"12","2018-03-20 13:18:45","5","en","2018-03-20 13:16:47","2018-03-20 13:18:45","173.235.13.254","","Female","1988","Bachelor's degree","","Yes","I have taken some philosophy classes","Yes","","","True","Disagree","","","True","Disagree","119.43","17.34","","","","","","","7.03","","50.99","","","","2.68","","41.39","","",""
"13","2018-03-20 13:20:27","5","en","2018-03-20 13:17:35","2018-03-20 13:20:27","73.85.205.43","","Female","1974","Advanced Graduate work or Doctoral degree","","No","","Yes","","","True","Disagree","","","True","Neutral","174.04","34.38","","","","","","","7.68","","57.28","","","","5.52","","69.18","","",""
"14","2018-03-20 13:25:19","5","en","2018-03-20 13:19:23","2018-03-20 13:25:19","98.28.46.35","","Female","1998","High School/GED","","No","","Yes","","","True","Agree","","","True","Agree","357.43","18.62","","","","","","","4.18","","158.93","","","","146.47","","29.23","","",""
"15","2018-03-20 13:22:15","5","en","2018-03-20 13:20:15","2018-03-20 13:22:15","24.247.217.213","","Female","1986","Master's degree","","Yes","Bachelor of Philosophy","No","","","True","Strongly disagree","","","True","Disagree","122.39","22.84","","","","","","","9.82","","44.4","","","","3.49","","41.84","","",""
