"id","submitdate","lastpage","startlanguage","startdate","datestamp","ipaddr","refurl","M1","M2","M3","M3[other]","M4","M5","M6","I1","Truetemp","ControlTruetemp","TruetempKnow","I2","Coinflip","ControlCoinflip","CoinflipKnow","interviewtime","groupTime8106","M1Time","M2Time","M3Time","M4Time","M5Time","M6Time","groupTime8109","I1Time","groupTime8110","TruetempTime","ControlTruetempTime","TruetempKnowTime","groupTime8108","I2Time","groupTime8107","CoinflipTime","ControlCoinflipTime","CoinflipKnowTime"
"6","2018-03-20 13:00:21","5","en","2018-03-20 12:54:27","2018-03-20 13:00:21","4.35.253.10","","Male","1990","Some College","","No","","Yes","","","False","Disagree","","","False","Neutral","355.9","31","","","","","","","7.98","","127.24","","","","6.71","","182.97","","",""
"7","2018-03-20 12:56:25","5","en","2018-03-20 12:54:49","2018-03-20 12:56:25","170.142.177.250","","Female","1983","Master's degree","","Yes","I have taken some philosophy classes","Yes","","","True","Strongly agree","","","True","Strongly agree","97.7","15.6","","","","","","","5.09","","36.23","","","","4.14","","36.64","","",""
"8","2018-03-20 13:14:18","5","en","2018-03-20 13:12:01","2018-03-20 13:14:17","149.254.248.107","","Male","1976","Some College","","No","","Yes","","","True","Disagree","","","True","Strongly disagree","138.33","27.12","","","","","","","6.68","","63.14","","","","5.4","","35.99","","",""
"9","2018-03-20 13:14:28","5","en","2018-03-20 13:12:41","2018-03-20 13:14:28","5.2.123.218","","Female","1988","Bachelor's degree","","No","","No","","","True","Agree","","","True","Disagree","107.21","13.51","","","","","","","5.12","","56.86","","","","3.07","","28.65","","",""
"10","2018-03-20 13:21:55","5","en","2018-03-20 13:13:07","2018-03-20 13:21:55","98.166.2.231","","Male","1990","Master's degree","","No","","Yes","","","True","Neutral","","","True","Strongly disagree","529.33","29.68","","","","","","","50.14","","259.57","","","","10.48","","179.46","","",""
"11","2018-03-20 13:15:20","5","en","2018-03-20 13:13:29","2018-03-20 13:15:20","89.197.101.90","","Female","1984","Bachelor's degree","","No","","Yes","","","True","Disagree","","","False","Strongly disagree","114.74","15.78","","","","","","","3.77","","67.81","","","","3.68","","23.7","","",""
"12","2018-03-20 13:16:28","5","en","2018-03-20 13:13:40","2018-03-20 13:16:28","76.182.157.123","","Male","1991","Some College","","Yes","I have taken some philosophy classes","Yes","","","True","Neutral","","","True","Disagree","170.8","30.2","","","","","","","10.68","","74.41","","","","4.56","","50.95","","",""
"13","2018-03-20 13:16:50","5","en","2018-03-20 13:13:40","2018-03-20 13:16:50","70.127.186.94","","Male","1983","Bachelor's degree","","No","","Yes","","","True","Strongly agree","","","True","Disagree","191.74","24.87","","","","","","","7.76","","71.05","","","","25.64","","62.42","","",""
"14","2018-03-20 13:15:23","5","en","2018-03-20 13:13:48","2018-03-20 13:15:23","73.85.22.85","","Female","1988","Master's degree","","No","","Yes","","","True","Strongly agree","","","True","Neutral","96.85","19.33","","","","","","","4.56","","37.63","","","","3.54","","31.79","","",""
"15","2018-03-20 13:16:09","5","en","2018-03-20 13:14:00","2018-03-20 13:16:09","86.138.204.73","","Male","1959","Bachelor's degree","","No","","Yes","","","True","Neutral","","","True","Strongly disagree","130.86","28.07","","","","","","","5.1","","61.21","","","","5.51","","30.97","","",""
