"id","submitdate","lastpage","startlanguage","startdate","datestamp","ipaddr","refurl","M1","M2","M3","M3[other]","M4","M5","M6","I1","Chemist","ControlChemist","ChemistKnow","I2","Truetemp","ControlTruetemp","TruetempKnow","interviewtime","groupTime8111","M1Time","M2Time","M3Time","M4Time","M5Time","M6Time","groupTime8114","I1Time","groupTime8112","ChemistTime","ControlChemistTime","ChemistKnowTime","groupTime8113","I2Time","groupTime8115","TruetempTime","ControlTruetempTime","TruetempKnowTime"
"6","2018-03-20 12:53:59","5","en","2018-03-20 12:52:13","2018-03-20 12:53:59","67.161.65.76","","Male","1976","Master's degree","","No","","Yes","","","False","Agree","","","False","Neutral","107.37","50.02","","","","","","","7.5","","27.62","","","","4.83","","17.4","","",""
"8","2018-03-20 13:09:40","5","en","2018-03-20 13:08:07","2018-03-20 13:09:40","83.105.69.250","","Male","1995","Some College","","Yes","I have taken some philosophy classes","Yes","","","True","Strongly agree","","","True","Disagree","94.87","18.6","","","","","","","3.68","","43.15","","","","3.26","","26.18","","",""
"9","2018-03-20 13:11:04","5","en","2018-03-20 13:08:19","2018-03-20 13:11:04","86.6.90.181","","Male","1961","Bachelor's degree","","No","","Yes","","","True","Agree","","","False","Disagree","166.95","17.16","","","","","","","5.87","","82.74","","","","6.05","","55.13","","",""
"10","2018-03-20 13:17:03","5","en","2018-03-20 13:08:26","2018-03-20 13:17:03","66.253.253.206","","Female","1985","Some College","","No","","Yes","","","True","Strongly agree","","","True","Neutral","518.46","13.52","","","","","","","3.9","","428.03","","","","3.18","","69.83","","",""
"11","2018-03-20 13:11:26","5","en","2018-03-20 13:08:41","2018-03-20 13:11:26","71.88.241.135","","Female","1979","High School/GED","","No","","Yes","","","True","Agree","","","True","Neutral","167.4","39.67","","","","","","","8.09","","62.49","","","","7.77","","49.38","","",""
"12","2018-03-20 13:12:43","5","en","2018-03-20 13:09:07","2018-03-20 13:12:43","46.16.211.144","","Female","1978","Some College","","No","","Yes","","","True","Strongly agree","","","True","Strongly agree","218.51","14.92","","","","","","","6.37","","139.57","","","","5.33","","52.32","","",""
"13","2018-03-20 13:11:17","5","en","2018-03-20 13:09:35","2018-03-20 13:11:17","217.42.212.60","","Male","1989","High School/GED","","No","","Yes","","","True","Strongly agree","","","True","Strongly disagree","103.86","15.09","","","","","","","6.42","","37.21","","","","3.64","","41.5","","",""
"14","2018-03-20 13:12:12","5","en","2018-03-20 13:10:25","2018-03-20 13:12:12","174.229.129.241","","Female","1998","High School/GED","","No","","Yes","","","True","Strongly agree","","","False","Agree","108.53","18.24","","","","","","","6.92","","35.71","","","","5.35","","42.31","","",""
"15","2018-03-20 13:12:31","5","en","2018-03-20 13:10:35","2018-03-20 13:12:31","68.235.248.22","","Female","1998","Some College","","No","","Yes","","","True","Agree","","","False","Strongly disagree","117.06","20.2","","","","","","","5.22","","49.9","","","","4.31","","37.43","","",""
"16","2018-03-20 13:12:55","5","en","2018-03-20 13:10:43","2018-03-20 13:12:55","84.13.197.221","","Female","1993","Bachelor's degree","","Yes","I have taken some philosophy classes","Yes","","","True","Strongly agree","","","True","Disagree","132.87","20.5","","","","","","","6.28","","48.04","","","","3.83","","54.22","","",""
"17","2018-03-20 13:30:11","5","en","2018-03-20 13:28:17","2018-03-20 13:30:11","94.13.202.29","","Female","1973","Master's degree","","No","","Yes","","","True","Strongly agree","","","True","Strongly agree","114.74","15.53","","","","","","","37.26","","33.72","","","","7.2","","21.03","","",""
"18","2018-03-20 13:30:23","5","en","2018-03-20 13:28:25","2018-03-20 13:30:23","92.1.227.71","","Male","1971","Bachelor's degree","","No","","Yes","","","True","Strongly agree","","","True","Strongly disagree","119.91","20.17","","","","","","","2.8","","48.17","","","","2.68","","46.09","","",""
"19","2018-03-20 13:30:09","5","en","2018-03-20 13:28:29","2018-03-20 13:30:09","109.155.15.31","","Male","1986","High School/GED","","No","","Yes","","","True","Strongly agree","","","True","Disagree","102.26","20.53","","","","","","","6.68","","41.67","","","","4.31","","29.07","","",""
"20","2018-03-20 13:32:46","5","en","2018-03-20 13:31:17","2018-03-20 13:32:46","69.154.196.166","","Male","1986","Bachelor's degree","","No","","Yes","","","True","Agree","","","True","Neutral","90.49","14.18","","","","","","","5.12","","38.78","","","","3.29","","29.12","","",""
"21","2018-03-20 13:38:38","5","en","2018-03-20 13:36:30","2018-03-20 13:38:38","176.35.145.183","","Male","1999","Bachelor's degree","","No","","Yes","","","True","Strongly agree","","","True","Strongly agree","130.35","29.16","","","","","","","5.61","","53.81","","","","5.75","","36.02","","",""
"22","2018-03-20 13:38:12","5","en","2018-03-20 13:36:36","2018-03-20 13:38:12","97.104.64.70","","Female","1963","Bachelor's degree","","Yes","I have taken some philosophy classes","Yes","","","True","Agree","","","True","Neutral","97.63","19.89","","","","","","","5.92","","37.9","","","","4.67","","29.25","","",""
"23","2018-03-20 13:40:29","5","en","2018-03-20 13:37:45","2018-03-20 13:40:29","68.226.81.152","","Female","1989","Other","Diploma & Hospitality & Tourism  Certificate","No","","Yes","","","True","Agree","","","True","Agree","165.24","57.66","","","","","","","5.05","","40.26","","","","4.68","","57.59","","",""
"24","2018-03-20 13:41:43","5","en","2018-03-20 13:38:50","2018-03-20 13:41:43","87.113.64.204","","Female","1959","High School/GED","","No","","Yes","","","True","Agree","","","True","Strongly agree","175.13","26.68","","","","","","","13.18","","79.99","","","","5.73","","49.55","","",""
"25","2018-03-20 13:44:35","5","en","2018-03-20 13:39:40","2018-03-20 13:44:35","138.207.203.227","","Female","1982","Other","trade school certificate","No","","Yes","","","True","Strongly agree","","","True","Disagree","296.94","103.26","","","","","","","6.38","","126.4","","","","7.32","","53.58","","",""
"26","2018-03-20 13:44:38","5","en","2018-03-20 13:41:47","2018-03-20 13:44:38","86.177.87.178","","Male","1986","Bachelor's degree","","No","","Yes","","","True","Strongly agree","","","True","Disagree","173.03","17.76","","","","","","","10.46","","42.54","","","","8.49","","93.78","","",""
"27","2018-03-20 13:59:13","5","en","2018-03-20 13:58:07","2018-03-20 13:59:13","92.2.252.155","","Female","1982","Bachelor's degree","","No","","Yes","","","True","Disagree","","","True","Disagree","68.75","21.47","","","","","","","2.69","","30.54","","","","2.71","","11.34","","",""
