"id","submitdate","lastpage","startlanguage","startdate","datestamp","ipaddr","refurl","M1","M2","M3","M3[other]","M4","M5","M6","I1","Truetemp","ControlTruetemp","TruetempKnow","I2","Chemist","ControlChemist","ChemistKnow","interviewtime","groupTime8116","M1Time","M2Time","M3Time","M4Time","M5Time","M6Time","groupTime8119","I1Time","groupTime8120","TruetempTime","ControlTruetempTime","TruetempKnowTime","groupTime8118","I2Time","groupTime8121","ChemistTime","ControlChemistTime","ChemistKnowTime"
"6","2018-03-20 12:57:26","5","en","2018-03-20 12:55:27","2018-03-20 12:57:26","67.143.192.24","","Female","1978","Bachelor's degree","","No","","Yes","","","True","Agree","","","True","Agree","119.83","20.74","","","","","","","4.9","","46.7","","","","13.08","","34.41","","",""
"7","2018-03-20 12:58:42","5","en","2018-03-20 12:56:59","2018-03-20 12:58:42","86.163.252.241","","Male","1974","Master's degree","","No","","Yes","","","True","Disagree","","","True","Agree","104.99","16.44","","","","","","","5.26","","37.77","","","","4.6","","40.92","","",""
"8","2018-03-20 13:17:08","5","en","2018-03-20 12:56:59","2018-03-20 13:17:08","213.205.194.148","","Male","1988","Bachelor's degree","","No","","Yes","","","True","Agree","","","False","Agree","1208.13","19.08","","","","","","","17.86","","1117.96","","","","32.75","","20.48","","",""
"9","2018-03-20 13:00:05","5","en","2018-03-20 12:57:04","2018-03-20 13:00:05","155.94.183.3","","Male","1987","Bachelor's degree","","Yes","I have taken some philosophy classes","Yes","","","True","Strongly agree","","","False","Agree","183.03","26.74","","","","","","","16.29","","127.37","","","","4.07","","8.56","","",""
"10","2018-03-20 12:59:07","5","en","2018-03-20 12:57:09","2018-03-20 12:59:07","99.72.175.202","","Female","1981","Other","Associates Degree","No","","Yes","","","True","Strongly agree","","","True","Strongly agree","119.21","23.36","","","","","","","26.77","","35.68","","","","5.99","","27.41","","",""
"11","2018-03-20 13:00:50","5","en","2018-03-20 12:57:59","2018-03-20 13:00:50","47.206.107.28","","Female","1989","Master's degree","","No","","Yes","","","True","Neutral","","","True","Agree","172.93","25.43","","","","","","","13.39","","72.49","","","","9.1","","52.52","","",""
"12","2018-03-20 13:00:54","5","en","2018-03-20 12:58:37","2018-03-20 13:00:54","136.56.36.111","","Female","1973","Bachelor's degree","","No","","Yes","","","True","Strongly disagree","","","True","Strongly agree","137.25","17.94","","","","","","","6.2","","70.34","","","","5.08","","37.69","","",""
"13","2018-03-20 13:03:47","5","en","2018-03-20 12:58:38","2018-03-20 13:03:47","173.69.14.45","","Male","1959","Master's degree","","No","","Yes","","","True","Neutral","","","True","Agree","309.2","53.06","","","","","","","8.84","","123.93","","","","4.84","","118.53","","",""
"14","2018-03-20 13:01:23","5","en","2018-03-20 12:59:14","2018-03-20 13:01:23","82.16.99.177","","Male","1993","Master's degree","","No","","Yes","","","True","Disagree","","","True","Disagree","129.39","20.2","","","","","","","4.74","","48.95","","","","3.11","","52.39","","",""
"15","2018-03-20 13:25:36","5","en","2018-03-20 13:24:07","2018-03-20 13:25:36","67.241.247.61","","Female","1975","Some College","","No","","Yes","","","True","Strongly agree","","","True","Strongly agree","91.97","24.69","","","","","","","6.06","","29.87","","","","5.5","","25.85","","",""
