"id","submitdate","lastpage","startlanguage","startdate","datestamp","ipaddr","refurl","c","t","rok","plec","wyksztalcenie","filozofia","filozofia2","interviewtime","groupTime8009","cTime","groupTime8010","tTime","groupTime8011","rokTime","plecTime","wyksztalcenieTime","filozofiaTime","filozofia2Time"
"1","2018-03-06 20:17:23","3","pl","2018-03-06 20:15:37","2018-03-06 20:17:23","178.235.53.213","http://m.facebook.com/","Nie zgadzam się","Zgadzam się","1996","Kobieta","średnie","Nie","","107.75","26.64","","58.49","","22.62","","","","",""
"2","2018-03-07 11:13:07","3","pl","2018-03-07 11:11:46","2018-03-07 11:13:07","94.254.166.169","http://m.facebook.com","Zdecydowanie się nie zgadzam","Częściowo się zgadzam, częściowo się nie zgadzam","1994","Mężczyzna","wyższe (licencjat, inżynier, magister)","Tak","uczestniczyłem/łam w zajęciach z filozofii","81.97","26.84","","31.76","","23.37","","","","",""
"3","2018-03-07 12:03:00","3","pl","2018-03-07 12:01:40","2018-03-07 12:03:00","94.254.128.215","http://m.facebook.com/","Zdecydowanie się nie zgadzam","Zdecydowanie się nie zgadzam","1982","Kobieta","wyższe (licencjat, inżynier, magister)","Tak","uczestniczyłem/łam w zajęciach z filozofii","81.34","29.52","","29.46","","22.36","","","","",""
"4","2018-03-07 12:23:14","3","pl","2018-03-07 12:21:41","2018-03-07 12:23:14","94.254.128.18","http://m.facebook.com/","Nie zgadzam się","Nie zgadzam się","1996","Kobieta","średnie","Tak","uczestniczyłem/łam w zajęciach z filozofii","94.7","36.66","","30.07","","27.97","","","","",""
"5","","","pl","2018-03-07 12:34:45","2018-03-07 12:34:45","188.146.234.7","http://m.facebook.com/","","","","N/A","","N/A","","0","","","","","","","","","",""
"6","2018-03-07 12:37:28","3","pl","2018-03-07 12:36:27","2018-03-07 12:37:28","37.47.35.126","http://m.facebook.com/","Zdecydowanie się nie zgadzam","Zgadzam się","1996","Kobieta","średnie","Tak","uczestniczyłem/łam w zajęciach z filozofii","62.52","16.51","","24.45","","21.56","","","","",""
"7","2018-03-07 13:48:27","3","pl","2018-03-07 13:46:08","2018-03-07 13:48:27","37.47.56.245","http://m.facebook.com/","Częściowo się zgadzam, częściowo się nie zgadzam","Zgadzam się","1975","Kobieta","wyższe (licencjat, inżynier, magister)","Nie","","140.09","47.03","","52.66","","40.4","","","","",""
"8","2018-03-07 14:10:58","3","pl","2018-03-07 14:03:53","2018-03-07 14:10:58","91.216.51.36","http://www.kognilab.pl/limesurvey/index.php/256855","Nie zgadzam się","Zgadzam się","1976","Kobieta","wyższe (licencjat, inżynier, magister)","Tak","uczestniczyłem/łam w zajęciach z filozofii","425.75","66.25","","314.19","","45.31","","","","",""
"9","2018-03-07 17:06:48","3","pl","2018-03-07 17:05:41","2018-03-07 17:06:48","89.73.81.22","https://l.facebook.com/","Nie zgadzam się","Zgadzam się","1996","Mężczyzna","wyższe (licencjat, inżynier, magister)","Nie","","67.94","24.52","","24.97","","18.45","","","","",""
"10","2018-03-07 18:02:25","3","pl","2018-03-07 18:00:47","2018-03-07 18:02:20","31.0.35.126","http://m.facebook.com/","Częściowo się zgadzam, częściowo się nie zgadzam","Zgadzam się","1996","Kobieta","średnie","Nie","","99.09","34.45","","35.81","","28.83","","","","",""
"11","2018-03-07 18:55:54","3","pl","2018-03-07 18:53:54","2018-03-07 18:55:54","79.184.252.155","http://m.facebook.com","Nie zgadzam się","Zgadzam się","1996","Mężczyzna","średnie","Nie","","121.02","48.11","","49.94","","22.97","","","","",""
"12","2018-03-07 21:00:26","3","pl","2018-03-07 20:56:39","2018-03-07 21:00:26","83.6.28.157","http://m.facebook.com/","Częściowo się zgadzam, częściowo się nie zgadzam","Zdecydowanie się zgadzam","1996","Kobieta","wyższe (licencjat, inżynier, magister)","Tak","uczestniczyłem/łam w zajęciach z filozofii","227.4","57.24","","138.04","","32.12","","","","",""
"13","2018-03-07 21:01:28","3","pl","2018-03-07 20:59:51","2018-03-07 21:01:28","83.6.8.252","http://m.facebook.com","Częściowo się zgadzam, częściowo się nie zgadzam","Zgadzam się","1997","Kobieta","średnie","Nie","","98.62","36.07","","31.59","","30.96","","","","",""
"14","2018-03-08 04:44:17","3","pl","2018-03-08 04:38:26","2018-03-08 04:44:17","37.47.82.150","http://m.facebook.com/","Zdecydowanie się nie zgadzam","Nie zgadzam się","1986","Mężczyzna","wyższe (licencjat, inżynier, magister)","Nie","","351.79","233.95","","90.72","","27.12","","","","",""
"15","2018-03-08 06:17:31","3","pl","2018-03-08 06:15:59","2018-03-08 06:17:31","37.47.83.98","http://m.facebook.com/","Zdecydowanie się nie zgadzam","Zdecydowanie się nie zgadzam","1989","Kobieta","wyższe (licencjat, inżynier, magister)","Tak","uczestniczyłem/łam w zajęciach z filozofii","93.61","34.61","","33.34","","25.66","","","","",""
"16","2018-03-08 10:45:07","3","pl","2018-03-08 10:42:26","2018-03-08 10:45:07","194.147.108.220","https://l.facebook.com/","Nie zgadzam się","Zgadzam się","1992","Mężczyzna","wyższe (licencjat, inżynier, magister)","Nie","","229.47","38.15","","56.1","","135.22","","","","",""
"17","2018-03-08 13:24:31","3","pl","2018-03-08 13:22:08","2018-03-08 13:24:31","94.254.128.141","","Częściowo się zgadzam, częściowo się nie zgadzam","Częściowo się zgadzam, częściowo się nie zgadzam","1998","Kobieta","średnie","Nie","","143.75","45.62","","69.84","","28.29","","","","",""
"18","2018-03-08 14:01:03","3","pl","2018-03-08 13:58:21","2018-03-08 14:01:01","94.254.227.243","","Zdecydowanie się nie zgadzam","Częściowo się zgadzam, częściowo się nie zgadzam","1969","Mężczyzna","wyższe (doktorat lub więcej)","Nie","","160.68","56.07","","64.37","","40.24","","","","",""
"19","2018-03-13 07:39:38","3","pl","2018-03-13 07:37:38","2018-03-13 07:39:38","46.76.138.138","","Częściowo się zgadzam, częściowo się nie zgadzam","Częściowo się zgadzam, częściowo się nie zgadzam","1995","Kobieta","wyższe (licencjat, inżynier, magister)","Tak","uczestniczyłem/łam w zajęciach z filozofii","106.6","40.41","","44.61","","21.58","","","","",""
