"id","submitdate","lastpage","startlanguage","startdate","datestamp","ipaddr","refurl","t","ch","rok","plec","wyksztalcenie","filozofia","filozofia2","interviewtime","groupTime8024","tTime","groupTime8023","chTime","groupTime8025","rokTime","plecTime","wyksztalcenieTime","filozofiaTime","filozofia2Time"
"1","2018-03-06 20:16:05","3","pl","2018-03-06 20:14:43","2018-03-06 20:16:04","89.64.15.137","https://l.facebook.com/","Zgadzam się","Zdecydowanie się zgadzam","1993","Mężczyzna","wyższe (licencjat, inżynier, magister)","Nie","","82.54","24.94","","26.6","","31","","","","",""
"3","","","pl","2018-03-07 11:17:51","2018-03-07 11:17:51","79.184.252.155","https://l.facebook.com/","","","","N/A","","N/A","","0","","","","","","","","","",""
"4","2018-03-07 11:25:52","3","pl","2018-03-07 11:18:19","2018-03-07 11:25:52","37.47.10.77","http://m.facebook.com","Częściowo się zgadzam, częściowo się nie zgadzam","Częściowo się zgadzam, częściowo się nie zgadzam","1973","Kobieta","wyższe (licencjat, inżynier, magister)","Nie","","421.61","82.29","","311.77","","27.55","","","","",""
"5","2018-03-07 12:05:36","3","pl","2018-03-07 12:02:41","2018-03-07 12:05:36","94.254.161.162","http://m.facebook.com","Częściowo się zgadzam, częściowo się nie zgadzam","Zdecydowanie się zgadzam","1996","Kobieta","średnie","Tak","uczestniczyłem/łam w zajęciach z filozofii","176.18","68.46","","76.03","","31.69","","","","",""
"6","2018-03-07 12:22:47","3","pl","2018-03-07 12:20:14","2018-03-07 12:22:47","37.47.26.161","http://m.facebook.com/","Nie zgadzam się","Zgadzam się","1996","Kobieta","średnie","Nie","","153.78","51.06","","77.44","","25.28","","","","",""
"7","2018-03-07 12:39:03","3","pl","2018-03-07 12:37:29","2018-03-07 12:39:03","31.0.80.44","http://m.facebook.com/","Zdecydowanie się zgadzam","Zgadzam się","1996","Kobieta","średnie","Tak","uczestniczyłem/łam w zajęciach z filozofii","94.8","27.95","","42.37","","24.48","","","","",""
"8","2018-03-07 13:51:52","3","pl","2018-03-07 13:49:49","2018-03-07 13:51:51","62.178.188.33","","Częściowo się zgadzam, częściowo się nie zgadzam","Zdecydowanie się zgadzam","1988","Kobieta","wyższe (licencjat, inżynier, magister)","Tak","uczestniczyłem/łam w zajęciach z filozofii","123.92","57.3","","32.63","","33.99","","","","",""
"9","","","pl","2018-03-07 15:03:15","2018-03-07 15:03:15","94.254.225.46","","","","","N/A","","N/A","","0","","","","","","","","","",""
"10","2018-03-07 17:03:25","3","pl","2018-03-07 17:00:22","2018-03-07 17:03:18","46.112.193.156","https://l.facebook.com/","Zgadzam się","Zdecydowanie się zgadzam","1997","Kobieta","średnie","Nie","","183.77","99.23","","54.09","","30.45","","","","",""
"11","2018-03-07 17:07:01","3","pl","2018-03-07 17:04:40","2018-03-07 17:07:01","89.73.65.25","http://m.facebook.com/","Częściowo się zgadzam, częściowo się nie zgadzam","Zgadzam się","1996","Mężczyzna","średnie","Nie","","142.07","68.17","","44.96","","28.94","","","","",""
"12","2018-03-07 17:47:30","3","pl","2018-03-07 17:45:31","2018-03-07 17:47:26","178.42.247.1","http://m.facebook.com","Nie zgadzam się","Zgadzam się","1997","Kobieta","średnie","Tak","uczestniczyłem/łam w zajęciach z filozofii","119.69","37.84","","56.64","","25.21","","","","",""
"13","2018-03-07 19:45:34","3","pl","2018-03-07 19:43:13","2018-03-07 19:45:34","78.11.220.192","http://m.facebook.com/","Częściowo się zgadzam, częściowo się nie zgadzam","Zgadzam się","1987","Mężczyzna","średnie","Nie","","130.22","65.55","","44.46","","20.21","","","","",""
"14","2018-03-07 20:50:46","3","pl","2018-03-07 20:46:13","2018-03-07 20:50:46","95.49.115.219","http://m.facebook.com/","Częściowo się zgadzam, częściowo się nie zgadzam","Zgadzam się","1996","Kobieta","wyższe (licencjat, inżynier, magister)","Tak","uczestniczyłem/łam w zajęciach z filozofii","273.27","162.31","","81.45","","29.51","","","","",""
"15","2018-03-07 21:01:55","3","pl","2018-03-07 20:57:56","2018-03-07 21:01:47","188.146.164.26","http://m.facebook.com/","Zgadzam się","Zdecydowanie się zgadzam","1996","Kobieta","średnie","Tak","uczestniczyłem/łam w zajęciach z filozofii","239.5","138.08","","66.31","","35.11","","","","",""
"16","2018-03-07 22:49:12","3","pl","2018-03-07 22:44:14","2018-03-07 22:49:12","188.146.160.224","http://m.facebook.com/","Zgadzam się","Nie zgadzam się","1996","Kobieta","średnie","Tak","uczestniczyłem/łam w zajęciach z filozofii","298.72","205.54","","60.07","","33.11","","","","",""
"17","2018-03-07 22:53:32","3","pl","2018-03-07 22:49:55","2018-03-07 22:53:32","37.47.28.164","http://m.facebook.com/","Zgadzam się","Zdecydowanie się zgadzam","1996","Mężczyzna","średnie","Nie","","217.48","116.91","","72.32","","28.25","","","","",""
"18","","","pl","2018-03-08 10:44:32","2018-03-08 10:44:32","194.147.108.220","https://l.facebook.com/","","","","N/A","","N/A","","0","","","","","","","","","",""
"19","2018-03-08 13:06:58","3","pl","2018-03-08 13:03:59","2018-03-08 13:06:58","193.109.244.28","https://l.facebook.com/","Nie zgadzam się","Zgadzam się","1991","Mężczyzna","wyższe (licencjat, inżynier, magister)","Nie","","178.89","104.49","","58.32","","16.08","","","","",""
"20","2018-03-08 13:16:09","3","pl","2018-03-08 13:13:13","2018-03-08 13:16:09","94.254.128.93","http://m.facebook.com/","Zdecydowanie się zgadzam","Częściowo się zgadzam, częściowo się nie zgadzam","1964","Kobieta","wyższe (licencjat, inżynier, magister)","Nie","","175.85","68.06","","74.99","","32.8","","","","",""
"21","2018-03-09 11:40:32","3","pl","2018-03-09 11:38:55","2018-03-09 11:40:32","94.254.130.58","https://l.facebook.com/","Zdecydowanie się zgadzam","Częściowo się zgadzam, częściowo się nie zgadzam","1994","Mężczyzna","wyższe (licencjat, inżynier, magister)","Nie","","97.51","36.95","","38.34","","22.22","","","","",""
"22","2018-03-10 18:38:10","3","pl","2018-03-10 18:36:03","2018-03-10 18:38:10","94.254.129.194","http://m.facebook.com/","Zdecydowanie się nie zgadzam","Zgadzam się","1996","Mężczyzna","średnie","Nie","","127.99","60.47","","42.89","","24.63","","","","",""
